idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f),converged (t/f)
90,80.0,450,60,253.9774,62.0533,1.6,3.2998,60.0081,65.8274,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.194,0.7874,79.99,12.86,3.08,0.08,0.14,89.99,True,False,True
91,80.0,450,60,279.3001,63.3329,1.6,3.3,60.0384,66.8052,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3131,0.7241,79.99,14.2,3.44,0.09,0.17,91.01,True,True,True
92,80.0,450,90,256.4588,62.5157,1.6,3.2986,60.0056,65.6946,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2057,0.7867,79.99,13.97,3.4,0.08,0.15,90.79,True,False,True
93,80.0,450,90,282.7579,63.5082,1.6,3.2972,60.0387,66.7896,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3293,0.7223,79.99,15.46,3.81,0.09,0.18,91.91,True,True,True
94,80.0,450,120,259.0863,62.5832,1.6,3.2987,60.0311,65.7558,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.218,0.7858,79.99,15.13,3.74,0.08,0.15,91.62,True,False,True
95,80.0,450,120,286.381,63.5906,1.6,3.2973,60.0148,66.9545,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3463,0.7204,79.99,16.78,4.2,0.09,0.17,92.84,True,True,True
96,80.0,450,150,261.814,63.3264,1.6,3.2989,60.0781,65.8326,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2309,0.7849,79.99,16.33,4.08,0.08,0.16,92.48,True,False,True
97,80.0,450,150,290.2358,63.1209,1.6001,3.3,60.0091,66.8353,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3645,0.7187,79.99,18.18,4.58,0.1,0.19,93.87,True,True,True
98,80.0,500,0,221.6079,62.2147,1.6,3.299,60.0688,65.6651,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.1576,0.7977,79.99,10.6,2.41,0.07,0.13,88.39,True,False,True
99,80.0,500,0,239.4662,62.7903,1.6,3.2996,60.0102,66.3682,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2509,0.744,79.99,11.5,2.64,0.08,0.16,89.09,True,True,True
9,20.0,400,90,66.4405,82.1333,4.7938,1.1,62.3094,66.4434,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2776,0.7548,19.99,2.39,2.39,0.04,0.02,20.06,True,True,True
