idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f)
10,20.0,400,80,80.5913,83.4247,1.6,1.1,60.0003,65.5452,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.3368,0.639,19.91,1.38,0.93,0.11,0.13,20.6,True,True
110,80.0,450,100,325.8137,64.8933,1.6,3.3,60.0,68.678,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5317,0.6474,79.88,19.05,4.64,0.17,0.46,94.93,True,True
111,80.0,450,120,262.4835,63.0486,1.6,3.3,60.0039,66.5844,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.234,0.784,79.91,16.03,3.83,0.14,0.35,92.6,True,False
112,80.0,450,120,328.7744,64.9058,1.6,3.2999,60.0013,68.7539,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5457,0.6466,79.89,20.08,4.94,0.17,0.46,95.66,True,True
113,80.0,500,0,224.3909,62.4873,1.6,3.3,60.0009,66.4316,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.1721,0.7961,79.92,11.42,2.48,0.13,0.33,89.32,True,False
114,80.0,500,0,276.5015,63.7839,1.6,3.2999,60.0016,68.596,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.4443,0.6608,79.9,14.08,3.19,0.16,0.41,91.36,True,True
115,80.0,500,20,225.7302,62.3579,1.6,3.3,60.0009,66.4147,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.1791,0.7957,79.92,12.11,2.69,0.13,0.33,89.81,True,False
116,80.0,500,20,278.6216,63.9948,1.6,3.3,60.0007,68.625,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.4554,0.6602,79.9,14.95,3.45,0.16,0.42,91.98,True,True
117,80.0,500,40,227.1106,62.5082,1.6,3.3,60.0014,66.4831,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.1863,0.7952,79.92,12.82,2.9,0.13,0.33,90.3,True,False
118,80.0,500,40,280.7965,64.0828,1.6,3.2999,60.0008,68.6255,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.4668,0.6597,79.89,15.85,3.72,0.16,0.42,92.61,True,True
